,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,33,42,0,0,0,0,0,18,0,0,0,0,0,0,0
C203,0,110,0,0,2,0,0,0,0,0,0,0,0,0,0
C204,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
C205,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0
C206,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
C207,0,0,0,1,0,113,0,0,0,0,0,0,0,0,0
C208,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
C210,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
Couloir_1,0,0,0,0,0,0,0,0,86,5,0,0,0,0,0
Couloir_2,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0
Couloir_3,0,0,0,16,0,0,0,0,0,11,60,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,0,0,4,90,0,0
Couloir_5,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0
Escalier_B,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
