,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
C204,0,0,27,0,58,0,0,0,0,0,0,0,0,0,0
C205,0,0,0,23,81,0,0,0,0,0,0,0,0,0,0
C206,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
C207,0,0,0,0,0,20,88,0,6,0,0,0,0,0,0
C208,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0
C210,0,0,0,0,0,0,0,1,86,0,0,0,0,0,0
Couloir_1,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0
Couloir_2,0,0,0,0,0,0,0,0,38,49,0,0,0,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
Couloir_4,0,0,0,0,0,0,9,0,0,0,43,42,0,0,0
Couloir_5,0,0,0,0,3,0,3,0,0,0,11,0,76,0,0
Escalier_B,0,0,0,0,0,0,0,0,56,0,0,0,0,36,0
Escalier_D,0,0,0,0,1,0,0,0,0,0,0,0,16,0,72
